"","ID_PSU","STRATUM","PSU_SEL","code1","PSU_code","SpRich","SpRichAvgM","NrOfFamili","O","S","W","Insectivor","Granivore","Omnivore","FuncGroupR","FuncGrou_1","Shannon","Simpson","InvSimpson","GiniSimpso","Beta_Avg","Beta_Min","Beta_Max","NDVI_med_mn","NDVI_med_sd","NDVI_max_mn","NDVI_max_sd","NDVI_MAD_mn","NDVI_MAD_sd"
"0",15,4,1,"4 | 15","15","21",40.37583747,"12","8","4","9","12","5","4","8",0.727272727,2.662687514,0.1025,9.756097561,0.8975,11,"6","15",0.49134654802084,0.112977781261604,1.36322479571104,9.01072858027113,0.256159328712523,0.0697744644070332
"1",26,3,0,"3 | 26","26","10",21.38203176,"8","3","1","6","7","1","2","6",0.545454545,2.13219224,0.12465374,8.022222222,0.87534626,2.739130435,"0","6",0.530975467434526,0.0666540913569513,2.44773273810148,15.4373045949798,0.334246697187424,0.0662442449359882
"2",33,1,1,"1 | 33","33","21",38.06553235,"9","11","1","9","11","5","5","8",0.727272727,2.906663549,0.059591837,16.78082192,0.940408163,10.47826087,"7","17",0.5879249221012,0.12462585809498,7.92450825367868,38.6717041811022,0.239384472096339,0.0726090617655681
"3",67,2,1,"2 | 67","67","24",39.15199153,"11","8","5","11","15","5","4","7",0.636363636,2.94519521,0.062480763,16.00492611,0.937519237,11.65217391,"4","16",0.570725106360018,0.0899305113967798,5.13926874186099,25.3937519727841,0.304841953977197,0.0721467155818124
"4",73,3,1,"3 | 73","73","14",20.70903481,"10","7","4","3","9","3","2","7",0.636363636,2.345909557,0.113221329,8.832258065,0.886778671,8.086956522,"4","11",0.436633172942698,0.119817824376126,2.05329689256251,16.7201930312399,0.221365909807384,0.0657019046154255
"5",74,3,0,"3 | 74","74","9",12.43611098,"8","5","3","1","5","3","1","5",0.454545455,1.844621476,0.171597633,5.827586207,0.828402367,4.347826087,"0","7",0.385783153867722,0.110223756755506,1.31109059725404,5.49383669667411,0.21284132777527,0.0821993157929694
"6",78,1,1,"1 | 78","78","20",36.35994885,"10","8","7","5","12","6","2","7",0.636363636,2.79180208,0.070987654,14.08695652,0.929012346,11.39130435,"7","14",0.585943372943997,0.0742853722099713,3.02385630996823,16.5083128875516,0.238679732412845,0.0638844100352014
"7",82,1,1,"1 | 82","82","14",35.49597891,"10","6","1","7","7","3","4","6",0.545454545,2.51265853,0.0859375,11.63636364,0.9140625,6.173913043,"4","9",0.543474271976948,0.10940480685035,2.17451421989799,10.5389859628943,0.260282018108293,0.073092230430859
"8",85,2,0,"2 | 85","85","25",36.12401411,"12","10","4","11","16","6","3","7",0.636363636,2.99156921,0.057222222,17.47572816,0.942777778,12.73913043,"5","18",0.553791769328713,0.105001935882431,3.90619808641672,17.7172851001139,0.280814051611722,0.0765055131407782
"9",104,2,1,"2 | 104","104","17",26.54100199,"10","6","0","11","11","2","4","5",0.454545455,2.618376136,0.083984375,11.90697674,0.916015625,7.391304348,"4","14",0.599845903226733,0.120515693599484,5.00234613952935,30.7395798924431,0.245312272632495,0.0644223132117462
"10",108,6,1,"6 | 108","108","20",36.78194812,"11","7","2","11","11","5","4","7",0.636363636,2.805856358,0.072916667,13.71428571,0.927083333,9.086956522,"4","16",0.436269783700258,0.171709282938276,2.59964842350781,18.0148875630457,0.306492480422556,0.0771099394983196
