"","respVar","Estimate","Std..Error","z.value","Pr...z..","sig"
"(Intercept)","Sp_rich_sum",2.80612934233437,0.0505928587237627,55.4649295003441,0,1
"EFAmax_std","Sp_rich_sum",0.124087993564198,0.0643711613248776,1.9276954308457,0.0538930207679827,0
"shannon","Sp_rich_sum",0.146230711041,0.100117123146027,1.46059641393923,0.144126231007126,0
"eft_count","Sp_rich_sum",-0.052681671613749,0.116143840451334,-0.453589888271549,0.650124032773506,0
"EFAamp_std","Sp_rich_sum",0.0450223987167802,0.0535086744498767,0.841403738359359,0.40012179190095,0
"(Intercept)1","Hab_Woodland_sum",2.46849329400123,0.0600494191939412,41.1076964129954,0,1
"EFAmax_std1","Hab_Woodland_sum",0.128438840001542,0.0772896328453628,1.66178613189321,0.0965556638463137,0
"shannon1","Hab_Woodland_sum",0.117897383383717,0.129807216371689,0.908249839100863,0.363746237704692,0
"eft_count1","Hab_Woodland_sum",-0.0124645751648336,0.145383182046669,-0.085736018357559,0.931676269023953,0
"EFAsemax_std","Hab_Woodland_sum",0.0497851776811528,0.099796194331251,0.498868499092282,0.617872027171638,0
"(Intercept)2","Hab_Farmland_sum",1.77315557517616,0.085441248731058,20.7529220547501,1.15362591840012e-95,1
"EFAmax_std2","Hab_Farmland_sum",0.193728687315807,0.103315294080277,1.87512109451364,0.0607760661404506,0
"eft_count2","Hab_Farmland_sum",0.0533251658996183,0.1969430646517,0.270764375449959,0.786572260949009,0
"shannon2","Hab_Farmland_sum",0.0836465623582257,0.170016378228299,0.491991202435242,0.622725562818989,0
"(Intercept)3","Hab_Meadow_grass_sum",1.03227684334529,0.122313678056003,8.43958631407236,3.18462759844351e-17,1
"EFAmax_std3","Hab_Meadow_grass_sum",0.134441826590642,0.113722044738118,1.18219670513521,0.237127659710478,0
"(Intercept)4","Hab_Upland_sum",1.5200611541605,0.0955637552865509,15.9062517960136,5.73455127823302e-57,1
"EFAmax_std4","Hab_Upland_sum",0.0720932433232358,0.0967278600497976,0.745320358437793,0.456078076684813,0
"EFAamp_std1","Hab_Upland_sum",-0.0253026227048832,0.102687525555723,-0.246404055097742,0.805369467482509,0
"(Intercept)5","Hab_Wetlands_sum",1.00126547983592,0.131245499903232,7.62895093983533,2.36671676038747e-14,1
