"respVar","CoxSnell","Nagelkerke","Effron","OdT.LRT","OdT.DeanB","OdT.DeanB2"
"Sp_rich_sum",0.34286823394558,0.343835728925929,0.358876162784214,1,0.79030511124944,0.577708771610895
"Hab_Woodland_sum",0.314845873373391,0.31613513508996,0.349905971123555,1,0.843861583307392,0.653701139336692
"Hab_Farmland_sum",0.371446340040209,0.375113609524184,0.523059259139865,1,0.953268428123829,0.850084859854444
"Hab_Meadow_grass_sum",0.0100320046893133,0.0103311999990788,0.0159944907597279,1,0.862019969462892,0.694425950264293
"Hab_Upland_sum",0.116007393791565,0.118013426138574,0.171911296075442,1,0.905420299197151,0.772807566857399
"Hab_Wetlands_sum",0.17458841914721,0.178207231557044,0.148528769709176,1,0.744074163869377,0.511897196572672
"Hab_Urban_suburb_sum",0.462515741307633,0.463723984887644,0.398044289672833,1,0.641572052547254,0.396716778194514
"Hab_Heathland_sum",0.058225610489721,0.058791521930124,0.0522832789512004,0.432707591014511,0.181947944091807,0.0698466856924985
"Feed_Frugiverous_sum",0.173335815982397,0.174885323174677,0.227836291160421,1,0.903708600445014,0.757591935913691
"Feed_Granivorous_sum",0.207154141875444,0.208674338278247,0.287128874225798,1,0.928721190985861,0.808017809274795
"Feed_Insectivorous_sum",0.115425134759309,0.115945365120325,0.134610972653291,1,0.751803851883754,0.536147937217927
"Feed_Omnivorous_sum",0.274799862782921,0.293834605026519,0.215062549437827,1,0.52250865237199,0.286432271231155
"Omnivorous_h3_sum",0.248748119274017,0.252556411232289,0.266542715303558,1,0.864078638308214,0.685442974653136
"Omnivorous_prev_sum",0.240208846256316,0.261169334621855,0.247378863021806,1,0.777842112908618,0.556491263721221
"Nest_Tree_sum",0.288976723753296,0.292218763668206,0.442507194321237,1,0.966673666985155,0.891571077517836
"Nest_Shrub_sum",0.0739203339744781,0.0750788428884754,0.110028568201234,1,0.86325107416582,0.696504148521166
"Nest_Ground_sum",0.0170809098754406,0.0174776133736819,0.0291943209372608,1,0.913918162402609,0.785713348739434
"Nest_Artificial_Urban_sum",0.202494864674897,0.20394910873011,0.164609899144134,0.837039723562254,0.427125627427301,0.213188390649513
"Nest_Tree.Cavity_sum",0.198466531576933,0.201769508619426,0.27956874056088,1,0.944549901821358,0.836085313933102
"Nest_Cavity_sum",0.0862758998093301,0.0893147038915011,0.0740037427448563,1,0.554524239323312,0.31591590189827
"Nest_Cliff_sum",0.198650353641354,0.215883300879458,0.205993470007229,1,0.803605987635661,0.567796051886045
"Size_S_sum",0.127356517923864,0.129569268327894,0.201620644214684,1,0.920604137176332,0.789843808443094
"Size_M_sum",0.0500296837732238,0.0509930709705579,0.102635009634906,1,0.957365744242203,0.873563232459104
"Size_L_sum",0.1362157718475,0.139635880155314,0.320661668331637,1,0.99164337074568,0.962105176360724
"Size_XL_sum",0.357092701729311,0.365146801842202,0.553022204595796,1,0.963868045269931,0.869294431860929
