"","evar","shannon","eft_count","EFAmin_std","EFAmax_std","EFAavg_std","EFAsemax_std","EFAstd_std","EFAamp_std","EFAmin_avg","EFAmax_avg","EFAavg_avg","EFAsemax_avg","EFAstd_avg","EFAamp_avg"
"Sp_rich_sum",NA,NA,NA,NA,4.21551803792499,4.13206233637305,NA,NA,1.06542890081981,NA,NA,NA,NA,NA,NA
"Hab_Woodland_sum",NA,NA,NA,NA,4.19334672224059,4.10457510689357,NA,NA,1.06198120757775,NA,NA,NA,NA,NA,NA
"Hab_Farmland_sum",NA,NA,NA,NA,4.70687086764926,4.63860050687258,NA,NA,1.0511327658748,NA,NA,NA,NA,NA,NA
"Hab_Meadow_grass_sum",NA,NA,NA,NA,NA,1.1592296283842,NA,NA,2.1381735758305,NA,NA,NA,NA,2.34968002482549,NA
"Hab_Upland_sum",NA,NA,NA,NA,NA,1.19686280558521,NA,NA,2.16224549226256,NA,NA,NA,NA,2.43342216347196,NA
"Hab_Wetlands_sum",NA,NA,NA,NA,NA,NA,NA,NA,2.52702866196004,NA,NA,1.30143051910798,NA,NA,2.54729795287793
"Hab_Urban_suburb_sum",NA,NA,NA,NA,4.20290124762845,4.12845307389713,NA,NA,1.05287731482047,NA,NA,NA,NA,NA,NA
"Hab_Heathland_sum",NA,NA,NA,NA,NA,1.19514996500456,NA,NA,2.13394649941119,NA,NA,NA,NA,2.38741621331821,NA
"Feed_Frugiverous_sum",NA,NA,NA,NA,NA,1.46615428334873,NA,NA,1.19901216859144,NA,NA,1.68275649383114,NA,NA,NA
"Feed_Granivorous_sum",NA,NA,NA,NA,NA,1.13675656576118,NA,NA,2.18530235806621,NA,NA,NA,NA,2.3754349870781,NA
"Feed_Insectivorous_sum",NA,NA,NA,NA,NA,1.16015304866264,NA,NA,2.17852606860941,NA,NA,NA,NA,2.39154711781889,NA
"Feed_Omnivorous_sum",NA,NA,NA,NA,NA,NA,NA,3.48905504080905,NA,NA,2.45996649839044,NA,NA,NA,4.8655262043174
"Omnivorous_h3_sum",NA,NA,NA,1.90233717331461,NA,NA,NA,NA,1.83541207190273,NA,NA,1.23727076613423,NA,NA,NA
"Omnivorous_prev_sum",NA,NA,NA,NA,NA,NA,NA,3.33577980324718,NA,NA,2.35330963091884,NA,NA,NA,4.49368892936413
"Nest_Tree_sum",NA,NA,NA,NA,NA,1.15536363655512,NA,NA,2.27187741369749,NA,NA,NA,NA,NA,2.50162283251598
"Nest_Shrub_sum",NA,NA,NA,NA,NA,1.17057364442617,NA,NA,2.18910844107299,NA,NA,NA,NA,2.42575871945104,NA
"Nest_Ground_sum",NA,NA,NA,NA,NA,1.18481419378538,NA,NA,2.11040438660274,NA,NA,NA,NA,2.34308266105109,NA
"Nest_Artificial_Urban_sum",NA,NA,NA,NA,NA,NA,NA,NA,2.45772064027976,NA,NA,1.2929535857517,NA,NA,2.47389625460282
"Nest_Tree.Cavity_sum",NA,NA,NA,NA,NA,1.15756853192615,NA,NA,2.36898406620871,NA,NA,NA,NA,NA,2.60394819840602
"Nest_Cavity_sum",NA,NA,NA,NA,NA,1.45012875286696,NA,1.1836316763982,NA,NA,NA,1.63143551123577,NA,NA,NA
"Nest_Cliff_sum",NA,NA,NA,NA,NA,1.09362598705023,NA,NA,2.42059366706956,NA,NA,NA,NA,2.56040497006392,NA
"Size_S_sum",NA,NA,NA,NA,NA,1.47124130787099,NA,NA,1.2235124459313,NA,NA,1.7064248195419,NA,NA,NA
"Size_M_sum",NA,NA,NA,NA,NA,1.1778629855466,NA,NA,2.17617527293411,NA,NA,NA,NA,2.41790128916586,NA
"Size_L_sum",NA,NA,NA,NA,4.3853062348371,4.29972001443452,NA,NA,1.06431399300485,NA,NA,NA,NA,NA,NA
"Size_XL_sum",NA,NA,NA,NA,1.0802778853548,NA,NA,2.66411188203493,NA,NA,NA,NA,NA,NA,2.79415988726706
