"respVar","CoxSnell","Nagelkerke","Effron","OdT.LRT","OdT.DeanB","OdT.DeanB2"
"Sp_rich_sum",0.4284462882114,0.429655264699025,0.4690053586337,1,0.894535637791333,0.743149138525062
"Hab_Woodland_sum",0.433743480990766,0.435519616275188,0.506935928967534,1,0.942635696674774,0.834886963604451
"Hab_Farmland_sum",0.405180056008379,0.409180376632764,0.573173419424256,1,0.967264732050659,0.887427564256322
"Hab_Meadow_grass_sum",0.0535678746388388,0.0551654872140324,0.0880983496062848,1,0.894767110738724,0.824044012501589
"Hab_Upland_sum",0.0196944491730423,0.0200350111045399,0.0305263067409161,1,0.832360640860895,0.745684341502797
"Hab_Wetlands_sum",0.386761563358147,0.394778232229795,0.428235442481123,1,0.93156584611246,0.821231938511855
"Hab_Urban_suburb_sum",0.658971307252621,0.660692757530506,0.657412579014471,1,0.948803310910215,0.8463474605967
"Hab_Heathland_sum",0.00474303266120757,0.00478913155862757,0.00307453209655995,0.335964828292583,0.127148036922273,0.0577182689391982
"Feed_Frugiverous_sum",0.325498671600526,0.328408413766992,0.474738588445966,1,0.974839209146073,0.916669835813405
"Feed_Granivorous_sum",0.315826521355065,0.318144207776042,0.456465698234946,1,0.972254881974765,0.905139122640265
"Feed_Insectivorous_sum",0.160129396943704,0.160851113008017,0.189066526487375,1,0.803106958262995,0.653207036617903
"Feed_Omn_sum",0.49170262090196,0.525761708685289,0.607161307112803,1,0.892375134281894,0.67032850309762
"Feed_Omn_h3_sum",0.408355979391245,0.414607840900658,0.48323783222494,1,0.956941214616635,0.867907117094273
"Feed_Omn_prev_sum",0.400079307583663,0.434990002183779,0.486907566814557,1,0.897674036650202,0.68728978938925
"Feed_Omn_Omn_h3_sum",0.590300007832568,0.595295499199353,0.62732347158834,1,0.958901049910288,0.863587337685059
"Nest_Tree_sum",0.394225823752932,0.398648656981488,0.590708470381767,1,0.986689958525703,0.94639283644516
"Nest_Shrub_sum",0.0617497637681964,0.0627175306587977,0.084534255633321,1,0.848209872358657,0.716328939615351
"Nest_Ground_sum",0.00223027076300486,0.00228206871874382,0.00377075942076543,1,0.905419890713113,0.846054570103401
"Nest_Artificial.Urban_sum",0.529468634457761,0.533271084536276,0.485390227982028,1,0.874585350388596,0.714721641352332
"Nest_Tree.Cavity_sum",0.352001460693375,0.35785964108458,0.502085155322242,1,0.982048658499229,0.934739782636235
"Nest_Cavity_sum",0.323720481185156,0.33512254273284,0.416361425469848,1,0.893135973227757,0.737692736814792
"Nest_Cliff_sum",0.394552147397617,0.42877960390172,0.37507042515445,1,0.884322854613593,0.720206886846128
"Size_S_sum",0.108889651126345,0.110781549738621,0.162404493217939,1,0.905525372987009,0.801980790981035
"Size_M_sum",0.10796168088044,0.110040624685769,0.180541751957484,1,0.968468762242781,0.920085676660414
"Size_L_sum",0.127662334373038,0.130867682802682,0.304006820664041,1,0.991127901285295,0.979227556872325
"Size_XL_sum",0.531628095920351,0.543618780374647,0.813193050648988,1,0.993978573919277,0.967809235246051
