"","EFAmin_std","EFAmax_std","EFAavg_std","EFAsemax_std","EFAstd_std","EFAamp_std","EFAmin_avg","EFAmax_avg","EFAavg_avg","EFAsemax_avg","EFAstd_avg","EFAamp_avg","evar","shannon","eft_count"
"Sp_rich_sum",0,2.378,0,0,0,0,0,0,0,0,0,0,0,0.027,0.002
"Hab_Woodland_sum",0,2.951,0,0,0,0,0,0,0,0,0,0,0,0.103,0.008
"Hab_Farmland_sum",0,8.685,0,0,0,0,0,0,0,0,0,0,0,0.004,0.01
"Hab_Meadow_grass_sum",0,5.644,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hab_Upland_sum",0,3.418,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hab_Wetlands_sum",0,0,0,0,0,0,0,0.749,0,0,0,0,2.068,0.005,0.01
"Hab_Urban_suburb_sum",0,2.723,0,0,0,0,0,0,0,0,0,0,0,0.3,0.007
"Hab_Heathland_sum",0,1.277,0,0.013,0,0,0,0,0,0,0,0,0,0,0
"Feed_Frugiverous_sum",0.539,0,0,0,0,0.108,0,0,0,0,0,0,0,0.293,0
"Feed_Granivorous_sum",0,3.853,0,0,0,0,0,0,0,0,0,0,0,0,0.011
"Feed_Insectivorous_sum",0,3.949,0,0,0,0.283,0,0,0,0,0,0,0,0,0
"Feed_Omn_sum",0,18.593,0,0.093,0,0,0.083,0,0,0,0,0,0,0,0.002
"Feed_Omn_h3_sum",0.03,0,0,0,0,0,0,0,0,0,0,0,0.376,0,0.021
"Feed_Omn_prev_sum",0,9.019,9.138,0.289,0,0,0.123,0,0,0,0,0,0,0,0
"Feed_Omn_Omn_h3_sum",0,0,1.577,0,0,0,0,0,0,0,0,0,1.091,0,0.03
"Nest_Tree_sum",0,0,3.512,0.516,0,0,0.305,0,0,0,0,0,0,0.012,0
"Nest_Shrub_sum",0,3.062,0,0.071,0,0,0,0,0,0,0,0,0,0,0
"Nest_Ground_sum",0,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nest_Artificial.Urban_sum",0,0,0,0,0,0,0,0,0,0,0,0.199,0,0.04,0.022
"Nest_Tree.Cavity_sum",0,0,0,0,0,0,0,0,0,0,3.077,0.391,0,0,0.025
"Nest_Cavity_sum",0,0,0,0,0,0.401,0,0,0,0,0,0,0,0.772,0
"Nest_Cliff_sum",0,0,0,0,0,0.298,0,0,0,0,0,0,0.749,0.989,0.02
"Size_S_sum",0,2.086,0,0,0,3.477,0,0,0,0,0,0,0,0,0
"Size_M_sum",0,0.259,0,0.508,0,0,0,0,0,0,0,0,0,0,0
"Size_L_sum",0,7.924,0,0,0,0,0,0,0,0,0,0,0,0,0
"Size_XL_sum",0,5.165,0,0,0,0,0.156,0,0,0,0,0,0,0.224,0.022
"Count",2,17,3,6,0,5,4,1,0,0,1,2,4,11,13
