"","respVar","Estimate","Std..Error","z.value","Pr...z..","sig"
"(Intercept)","Sp_rich_sum",1.20094437641505,0.564083422617718,2.12901909232128,0.0332526808299417,1
"EFAmax_std","Sp_rich_sum",7.10742880760902,3.54313686165995,2.0059707217404,0.0448593718444556,1
"shannon","Sp_rich_sum",0.37535563329383,0.274532264191565,1.36725508165376,0.171545365738367,0
"eft_count","Sp_rich_sum",-0.00504282742094898,0.0150179135012834,-0.335787486092395,0.73703112747911,0
"(Intercept)1","Hab_Woodland_sum",0.689514819017119,0.670306946575524,1.02865533848295,0.303641663840876,0
"EFAmax_std1","Hab_Woodland_sum",6.52142016587554,4.12973674649934,1.57913701676107,0.114304632695588,0
"shannon1","Hab_Woodland_sum",0.379522362471707,0.327384999848346,1.15925397512871,0.246352676175926,0
"eft_count1","Hab_Woodland_sum",0.00139607950329597,0.0178176499321301,0.0783537396129028,0.937546670785828,0
"(Intercept)2","Hab_Farmland_sum",-0.207254319396366,0.927250177605085,-0.223514995631131,0.823134713497486,0
"EFAmax_std2","Hab_Farmland_sum",10.7337211482871,5.72428158356947,1.87512109451364,0.0607760661404509,0
"shannon2","Hab_Farmland_sum",0.225850606089708,0.45905415578936,0.491991202435256,0.622725562818979,0
"eft_count2","Hab_Farmland_sum",0.00687439726074802,0.0253888542365455,0.270764375449949,0.786572260949017,0
"(Intercept)3","Hab_Meadow_grass_sum",0.257442268307398,0.68226119074661,0.377336820266259,0.705923312448869,0
"EFAmax_std3","Hab_Meadow_grass_sum",7.44887655661399,6.30087744641619,1.18219670513521,0.237127659710476,0
"(Intercept)4","Hab_Upland_sum",1.14314051792643,0.552801934841339,2.067902526887,0.0386491897672516,1
"EFAmax_std4","Hab_Upland_sum",3.62597966111819,5.17598339018428,0.700539276844374,0.483590585389484,0
"(Intercept)5","Hab_Wetlands_sum",-3.42023455398588,1.63642450615522,-2.09006559185656,0.0366119080205598,1
"EFAmax_avg","Hab_Wetlands_sum",3.19773902830037,1.60990372904711,1.98629208107561,0.0470009014313718,1
"evar","Hab_Wetlands_sum",3.44621360288981,3.26136628515585,1.05667787717537,0.290658624879356,0
"shannon3","Hab_Wetlands_sum",0.553317844375257,0.484942676426787,1.14099639250618,0.253871424223642,0
"(Intercept)6","Hab_Urban_suburb_sum",-0.102415816716606,0.679969592820519,-0.150618230282599,0.880276879769445,0
"EFAmax_std5","Hab_Urban_suburb_sum",7.52845861920776,3.99421676556262,1.88483977237207,0.0594514734714462,0
"shannon4","Hab_Urban_suburb_sum",0.69341669595059,0.331251190501359,2.09332589839476,0.0363200722842195,1
"eft_count3","Hab_Urban_suburb_sum",-0.00331893230169919,0.0176524706873264,-0.188015171387993,0.850864758221737,0
"(Intercept)7","Hab_Heathland_sum",1.62535380677215,0.574014585981096,2.83155488809422,0.00463222824322958,1
"EFAmax_std6","Hab_Heathland_sum",0.993655991756371,5.11216655896076,0.194370817205605,0.845885538639934,0
"EFAsemax_std","Hab_Heathland_sum",-0.183342580321674,0.608605335233091,-0.301250366547403,0.763223585596502,0
"(Intercept)8","Feed_Frugiverous_sum",0.184231699078197,0.675182894808468,0.272861917111302,0.784959361747498,0
"EFAmin_std","Feed_Frugiverous_sum",1.57598772960747,4.39250563112632,0.358790144385849,0.719752086094309,0
"EFAamp_std","Feed_Frugiverous_sum",3.05475943273103,4.50014636080459,0.67881335134728,0.497256133054825,0
"shannon5","Feed_Frugiverous_sum",0.515763854222725,0.222274232740018,2.32039426192052,0.0203195590179325,1
"(Intercept)9","Feed_Granivorous_sum",0.825404426213595,0.747317199527861,1.10449007026075,0.269380608600182,0
"EFAmax_std7","Feed_Granivorous_sum",4.99232792941366,4.66456738238095,1.07026601186441,0.28449958852626,0
"shannon6","Feed_Granivorous_sum",0.194623146648704,0.366010140950662,0.531742498017123,0.59490435346605,0
"eft_count4","Feed_Granivorous_sum",0.0099231856012008,0.0200787079263709,0.494214350723631,0.621154805838178,0
"(Intercept)10","Feed_Insectivorous_sum",1.88700501095553,0.369455650957763,5.10752780763733,3.26401074329872e-07,1
"EFAmax_std8","Feed_Insectivorous_sum",4.22745034404092,3.06850102189448,1.37769233703266,0.168298298274807,0
"EFAamp_std1","Feed_Insectivorous_sum",2.9378699722413,2.62044289102514,1.12113489757908,0.262230446104529,0
